"artifact","field","locale","occurrences","scalar_utf8_bytes","types","source_candidates_not_usage_proof"
"src/lib/generated/details/characters/*","profiles.base.energy.max","neutral","97","278","number","src/lib/components/BaseStatsPanel.svelte;src/lib/components/ChangelogModal.svelte;src/lib/components/CharacterCatalogPage.svelte;src/lib/components/CompactEntityCard.svelte;src/lib/components/endgame/as/ApocalypticShadowNodeSection.svelte;src/lib/components/endgame/as/AsBossDossier.svelte;src/lib/components/endgame/as/AsBossTraits.svelte;src/lib/components/endgame/EndgameModeNav.svelte;... 54 candidate files"
"src/lib/generated/details/characters/*","profiles.base.energy.iconKey","neutral","97","1691","string","src/lib/components/BaseStatsPanel.svelte;src/lib/components/EidolonCard.svelte;src/lib/components/endgame/EndgameModeIcon.svelte;src/lib/components/PrimaryNavigation.svelte;src/lib/components/RelicPropertyToken.svelte;src/lib/components/SkillCardPanel.svelte;src/lib/components/TraceAbilityHeading.svelte;src/lib/components/TraceCardPanel.svelte;... 20 candidate files"
"src/lib/generated/details/characters/*","profiles.base.skillCards.[].category","neutral","509","4580","string","src/lib/components/CharacterCatalogPage.svelte;src/lib/components/DetailPage.svelte;src/lib/components/endgame/EndgameOverviewCard.svelte;src/lib/components/endgame/EndgameSeasonCard.svelte;src/lib/components/endgame/EndgameSeasonHero.svelte;src/lib/components/EnemyCatalogPage.svelte;src/lib/components/LightConeCatalogPage.svelte;src/lib/components/RelicCatalogPage.svelte;... 29 candidate files"
"src/lib/generated/details/characters/*","profiles.base.skillCards.[].displayLabel","localized","509","4459","string","src/lib/components/SkillCardPanel.svelte;src/lib/domain/types.ts;scripts/data/skills.ts;tests/unit/shared-ui.test.ts"
"src/lib/generated/details/characters/*","profiles.base.skillCards.[].order","neutral","509","509","number","src/lib/components/endgame/as/AsBossTraits.svelte;src/lib/components/endgame/mechanics/BuffOptionGroup.svelte;src/lib/components/SpecialEffectRelation.svelte;src/lib/domain/endgame-view.ts;src/lib/domain/endgame.ts;src/lib/domain/types.ts;src/lib/search/normalization.ts;src/lib/search/presentation.ts;... 23 candidate files"
"src/lib/generated/details/characters/*","profiles.base.skillCards.[].progressions.[].id","neutral","412","3708","string","src/lib/components/BaseStatsPanel.svelte;src/lib/components/ChangelogModal.svelte;src/lib/components/CharacterCatalogPage.svelte;src/lib/components/CharacterOverviewCard.svelte;src/lib/components/DetailPage.svelte;src/lib/components/EffectExplanationSection.svelte;src/lib/components/EidolonCard.svelte;src/lib/components/endgame/as/ApocalypticShadowNodeSection.svelte;... 117 candidate files"
"src/lib/generated/details/characters/*","profiles.base.skillCards.[].progressions.[].availableLevels.[]","neutral","5614","7520","number","src/lib/components/SkillProgressionPanel.svelte;src/lib/domain/types.ts;scripts/data/skills.ts;scripts/data/validate.ts"
"src/lib/generated/details/characters/*","profiles.base.skillCards.[].progressions.[].defaultLevel","neutral","412","711","number","src/lib/components/BaseStatsPanel.svelte;src/lib/components/enemy/EnemyDetailPage.svelte;src/lib/components/SkillProgressionPanel.svelte;src/lib/domain/types.ts;scripts/data/enemy-detail.ts;scripts/data/skills.ts;scripts/data/stats.ts;scripts/data/validate.ts;... 10 candidate files"
"src/lib/generated/details/characters/*","profiles.base.skillCards.[].progressions.[].variantIds.[]","neutral","482","3892","string","src/lib/components/SkillCardPanel.svelte;src/lib/domain/types.ts;scripts/data/skills.ts;scripts/data/validate.ts;tests/unit/data.test.ts"
"src/lib/generated/details/characters/*","profiles.base.skillCards.[].variants.[].id","neutral","581","4712","string","src/lib/components/BaseStatsPanel.svelte;src/lib/components/ChangelogModal.svelte;src/lib/components/CharacterCatalogPage.svelte;src/lib/components/CharacterOverviewCard.svelte;src/lib/components/DetailPage.svelte;src/lib/components/EffectExplanationSection.svelte;src/lib/components/EidolonCard.svelte;src/lib/components/endgame/as/ApocalypticShadowNodeSection.svelte;... 117 candidate files"
